n,time_sec,rate_MB_s,source
1,4.768e-06,0.4,comm.job.opack1
2,7.15e-07,5.333333,comm.job.opack1
4,5.484e-06,1.391304,comm.job.opack1
8,2.384e-06,6.4,comm.job.opack1
16,2.623e-06,11.636364,comm.job.opack1
32,9.54e-07,64.0,comm.job.opack1
64,2.146e-06,56.888889,comm.job.opack1
128,3.099e-06,78.769231,comm.job.opack1
256,2.146e-06,227.555556,comm.job.opack1
512,2.384e-06,409.6,comm.job.opack1
1024,3.099e-06,630.153846,comm.job.opack1
2048,3.099e-06,1260.307692,comm.job.opack1
4096,2.623e-06,2978.909091,comm.job.opack1
8192,2.1458e-05,728.177778,comm.job.opack1
16384,7.391e-06,4228.129032,comm.job.opack1
32768,1.3113e-05,4766.254545,comm.job.opack1
65536,2.5272e-05,4946.113208,comm.job.opack1
131072,4.1246e-05,6061.132948,comm.job.opack1
262144,8.8453e-05,5652.700809,comm.job.opack1
524288,0.000143528,6967.282392,comm.job.opack1
1048576,0.000333786,5991.862857,comm.job.opack1
