n,time_sec,rate_MB_s,source
1,1.4544e-05,0.131148,comm.job.opack1
2,4.053e-06,0.941176,comm.job.opack1
4,5.245e-06,1.454545,comm.job.opack1
8,4.53e-06,3.368421,comm.job.opack1
16,4.292e-06,7.111111,comm.job.opack1
32,4.53e-06,13.473684,comm.job.opack1
64,4.292e-06,28.444444,comm.job.opack1
128,5.96e-06,40.96,comm.job.opack1
256,4.292e-06,113.777778,comm.job.opack1
512,4.53e-06,215.578947,comm.job.opack1
1024,5.245e-06,372.363636,comm.job.opack1
2048,1.0729e-05,364.088889,comm.job.opack1
4096,1.2398e-05,630.153846,comm.job.opack1
8192,1.8358e-05,851.116883,comm.job.opack1
16384,3.2425e-05,963.764706,comm.job.opack1
32768,5.6982e-05,1096.83682,comm.job.opack1
65536,6.0558e-05,2064.125984,comm.job.opack1
131072,0.000111818,2235.769723,comm.job.opack1
262144,0.000199556,2505.557945,comm.job.opack1
524288,0.000397205,2517.589436,comm.job.opack1
1048576,0.00079751,2507.805082,comm.job.opack1
