n,time_sec,rate_MB_s,source
1,3.3855e-05,0.056338,comm.job.opack1
2,3.171e-05,0.120301,comm.job.opack1
4,2.9802e-05,0.256,comm.job.opack1
8,3.1233e-05,0.48855,comm.job.opack1
16,2.9087e-05,1.04918,comm.job.opack1
32,3.0756e-05,1.984496,comm.job.opack1
64,2.9325e-05,4.162602,comm.job.opack1
128,3.2663e-05,7.474453,comm.job.opack1
256,3.1948e-05,15.283582,comm.job.opack1
512,3.3855e-05,28.84507,comm.job.opack1
1024,4.3869e-05,44.521739,comm.job.opack1
2048,8.2731e-05,47.216138,comm.job.opack1
4096,7.8201e-05,99.902439,comm.job.opack1
8192,8.3923e-05,186.181818,comm.job.opack1
16384,0.000115871,269.695473,comm.job.opack1
32768,0.000153065,408.323988,comm.job.opack1
65536,0.000278234,449.261354,comm.job.opack1
131072,0.000515938,484.554529,comm.job.opack1
262144,0.000906467,551.591794,comm.job.opack1
524288,0.001457691,686.016356,comm.job.opack1
1048576,0.002244234,891.172634,comm.job.opack1
